Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
万波中正,0.1365906474820144,0.0611510791366906,0.0001,0.0323741007194244,0.079136690647482,0.6906474820143885,-4
郡司裕也,0.1756575757575757,0.0282828282828282,0.0001,0.0242424242424242,0.0888888888888888,0.6828282828282828,-2
松本剛,0.1707818930041152,0.037037037037037,0.0020576131687242,0.0020576131687242,0.0576131687242798,0.7304526748971194,7
マルティネス,0.1198257080610021,0.0435729847494553,0.008714596949891,0.0283224400871459,0.1350762527233115,0.6644880174291938,12
レイエス,0.1521739130434782,0.0407608695652173,0.0027173913043478,0.0679347826086956,0.0842391304347826,0.6521739130434783,3
水野達稀,0.1392757660167131,0.022284122562674,0.022284122562674,0.0194986072423398,0.0389972144846796,0.7576601671309192,23
水谷瞬,0.1813031161473088,0.0509915014164305,0.0084985835694051,0.0254957507082152,0.0679886685552408,0.6657223796033994,11
田宮裕涼,0.1948424068767908,0.0343839541547277,0.0057306590257879,0.0085959885386819,0.0802292263610315,0.6762177650429799,8
清宮幸太郎,0.1610942249240121,0.0547112462006079,0.0030395136778115,0.0455927051671732,0.1094224924012158,0.6261398176291794,-2
上川畑大悟,0.1868852459016393,0.0131147540983606,0.0065573770491803,0.0032786885245901,0.0918032786885245,0.698360655737705,11
石井一成,0.136986301369863,0.0502283105022831,0.0045662100456621,0.0182648401826484,0.0593607305936073,0.7305936073059363,-1
伏見寅威,0.1900173913043478,0.0271739130434782,0.0001,0.0001,0.0326086956521739,0.7499999999999999,0
野村佑希,0.131578947368421,0.0460526315789473,0.006578947368421,0.0131578947368421,0.0526315789473684,0.75,5
奈良間大己,0.1398,0.0266666666666666,0.0001,0.0001,0.0133333333333333,0.8200000000000001,2
五十幡亮汰,0.1180102362204724,0.0157480314960629,0.0078740157480314,0.0001,0.0551181102362204,0.8031496062992126,3
淺間大基,0.1904761904761904,0.0317460317460317,0.0079365079365079,0.0079365079365079,0.0873015873015873,0.6746031746031746,3
細川凌平,0.171675,0.015625,0.0001,0.0001,0.0625,0.75,1
スティーブンソン,0.126784126984127,0.0317460317460317,0.0001,0.0001,0.0158730158730158,0.8253968253968254,-3
加藤豪将,0.1426571428571428,0.0158730158730158,0.0001,0.0001,0.0793650793650793,0.7619047619047621,0
