Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
近本光司,0.2081377151799687,0.025039123630672927,0.00782472613458529,0.009389671361502348,0.11424100156494522,0.6353677621283255
中野拓夢,0.1640378548895899,0.031545741324921134,0.0031545741324921135,0.0015772870662460567,0.0804416403785489,0.7192429022082019
大山悠輔,0.1705422018348624,0.03302752293577982,0.0001,0.025688073394495414,0.10825688073394496,0.6623853211009174
森下翔太,0.1596958174904943,0.045627376425855515,0.0038022813688212928,0.030418250950570342,0.12357414448669202,0.6368821292775665
佐藤輝明,0.16129032258064516,0.04233870967741935,0.008064516129032258,0.03225806451612903,0.08266129032258064,0.6733870967741936
木浪聖也,0.15158924205378974,0.03178484107579462,0.0024449877750611247,0.0024449877750611247,0.08801955990220049,0.723716381418093
前川右京,0.1849828729281768,0.04419889502762431,0.0001,0.011049723756906077,0.10220994475138122,0.6574585635359116
梅野隆太郎,0.1475987421383648,0.02830188679245283,0.0001,0.0001,0.09748427672955975,0.7264150943396227
坂本誠志郎,0.18328623853211012,0.013761467889908258,0.0001,0.0001,0.06422018348623854,0.738532110091743
ノイジー,0.16768523489932888,0.03355704697986577,0.0001,0.006711409395973154,0.09395973154362416,0.6979865771812082
渡邉諒,0.18238175182481753,0.0364963503649635,0.0001,0.014598540145985401,0.08759124087591241,0.6788321167883212
小幡竜平,0.17037037037037037,0.022222222222222223,0.007407407407407408,0.007407407407407408,0.08888888888888889,0.7037037037037036
糸原健斗,0.17167500000000002,0.015625,0.0001,0.0001,0.125,0.6875
島田海吏,0.21256595744680853,0.02127659574468085,0.0001,0.0001,0.11702127659574468,0.648936170212766
原口文仁,0.16913076923076925,0.015384615384615385,0.0001,0.03076923076923077,0.1076923076923077,0.676923076923077
野口恭佑,0.16363442622950822,0.0001,0.0001,0.0001,0.11475409836065574,0.7213114754098361
井上広大,0.10899090909090908,0.03636363636363636,0.0001,0.05454545454545454,0.05454545454545454,0.7454545454545454
才木浩人,0.03826153846153846,0.019230769230769232,0.0001,0.0001,0.09615384615384616,0.8461538461538461
大竹耕太郎,0.13705490196078435,0.0196078431372549,0.0001,0.0001,0.0,0.8431372549019608
